de-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
;C_deg;C_deg;C_deg;m/s;MJ m-2 d-1;mm;%
15.04.2011;3.878333333;0;8.11;2.905833333;19.765592;0;73.75
16.04.2011;4.154166667;2.34;6.63;2.726666667;10.355608;0.823776005;80.70833333
17.04.2011;6.065833333;0;12.22;3.544583333;13.627189;0.189334154;68.375
18.04.2011;10.66875;4.67;16.63;5.192083333;19.348826;0;65.875
19.04.2011;7.224166667;2.22;12.22;4.857083333;21.398768;0;51.16666667
20.04.2011;3.340833333;-1.11;7.48;4.063333333;19.470015;0.704556223;59
21.04.2011;4.3525;-1.11;10.32;3.157142857;16.886298;0.396770251;53
22.04.2011;8.411666667;0;16.11;3.1135;21.388716;0;45
23.04.2011;11.35166667;2.78;17.78;0.970909091;19.795643;0;42.95833333
24.04.2011;12.02333333;2.22;19.18;2.579444444;19.300189;0.089553258;46.58333333
25.04.2011;13.96416667;5;22.22;3.265217391;22.919404;0;43
26.04.2011;14.28458333;6.11;21.11;2.229;19.086775;0.059824437;40.91666667
27.04.2011;14.49291667;5;20.59;2.393809524;18.668355;0.972002745;43.58333333
28.04.2011;14.80666667;6.11;21.11;2.101764706;19.256834;1.411852427;46.75
29.04.2011;14.4775;6.11;21.18;1.489375;19.539184;0.34207775;50.625
30.04.2011;13.4475;6.11;20;2.675;15.487597;0.698821386;56.91666667
01.05.2011;12.94166667;8.89;18.79;1.243846154;18.182539;0.231683254;74.375
02.05.2011;15.04;7.22;22.22;2.116470588;18.208761;0.164926052;62
03.05.2011;16.28;7.22;23.3;2.1055;20.88532;0;49.33333333
04.05.2011;17.23;7.22;23.96;1.992222222;19.912225;0;47.29166667
05.05.2011;18.18958333;12.22;23.89;2.1755;18.594026;2.375351731;49.58333333
06.05.2011;17.06583333;12.22;22.78;2.1975;14.151287;1.948765799;65.45833333
07.05.2011;15.4875;11.43;21.11;4.305833333;3.212767375;11.59318507;74.45833333
08.05.2011;15.67041667;9.88;21.11;3.643478261;24.261112;0;43.16666667
09.05.2011;15.2825;6.11;22.22;3.457142857;20.505921;0;40.25
10.05.2011;11.39833333;8.89;13.37;4.12;5.527318;2.008428099;83.375
11.05.2011;14.63833333;8.89;21.11;2.8575;20.177027;0.159561634;65.08333333
12.05.2011;15.87416667;10;21.7;2.040952381;24.726557;0;49.45833333
13.05.2011;16.15041667;7.22;22.78;2.397142857;21.113892;0;52.16666667
14.05.2011;14.96875;12.22;22.22;2.179090909;18.837572;6.021628622;72
15.05.2011;13.51;9.98;17.22;2.13;18.08781;3.677322296;77.91666667
16.05.2011;11.8825;7.78;15.61;2.142105263;17.714177;0.70376927;82.375
17.05.2011;14.60625;5;20.79;2.719444444;21.633113;1.031920314;69.95833333
18.05.2011;16.74958333;12.22;22.22;3.042631579;24.625491;0;66.45833333
19.05.2011;17.1675;10;22.87;2.229;20.181864;0.150352716;61.08333333
20.05.2011;17.78875;10;24.48;2.078;16.889441;0;59.08333333
21.05.2011;18.94375;11.11;26.11;1.69625;21.510379;0;56.58333333
22.05.2011;19.88291667;10;27.22;2.1175;20.696842;1.220941544;56.08333333
23.05.2011;20.64333333;13.89;26.11;1.913181818;23.217623;0.112727284;56.125
24.05.2011;19.47375;11.11;26.11;2.597777778;22.450381;1.013920875;58.20833333
25.05.2011;17.75458333;8.89;24.48;2.064666667;26.755653;2.071925439;51
26.05.2011;14.22291667;7.78;17.78;5.231818182;24.368919;1.67437538;60.625
27.05.2011;14.12333333;6.11;20.47;3.985833333;26.088109;0;52.25
28.05.2011;17.47333333;7.22;25;3.6165;27.396572;0;51.83333333
29.05.2011;19.68625;8.89;27.26;1.552666667;27.381817;0;52.54166667
30.05.2011;21.20458333;11.11;28.89;2.20125;27.422819;0;52.66666667
31.05.2011;22.00125;12.22;28.37;2.802631579;26.570232;0;52.95833333
01.06.2011;22.1925;15;27.52;2.958571429;26.272669;0;48.20833333
02.06.2011;20.85041667;13.89;26.63;2.398095238;27.82061;0;44.29166667
03.06.2011;21.19625;10;29.48;2.936666667;23.648485;0;55.75
04.06.2011;17.95791667;12.78;21.46;4.605652174;27.182284;0;53.375
05.06.2011;18.72791667;12.78;25;5.402272727;28.002412;0;45.58333333
06.06.2011;20.22958333;12.22;27.22;4.054166667;27.061099;0;46.20833333
07.06.2011;17.87208333;8.89;24.93;2.854782609;28.538693;0;42.54166667
08.06.2011;17.76458333;12.22;23.3;2.575263158;27.966974;0;45.70833333
09.06.2011;17.83958333;12.78;23.01;2.225909091;19.621556;0;61
10.06.2011;17.30041667;13.89;21.11;2.033333333;20.071652;5.023738369;69.375
11.06.2011;19.09041667;8.89;26.11;2.396666667;21.67793;2.83318758;58.375
12.06.2011;19.81708333;12.22;25.69;2.619545455;20.526488;2.127293264;60.79166667
13.06.2011;18.89666667;8.89;25;2.430454545;24.719655;0;47.79166667
14.06.2011;18.96416667;13.89;25.52;2.021578947;19.420982;5.952119827;62.125
15.06.2011;19.79666667;15;24.48;2.8905;24.392793;0.637292862;67.625
16.06.2011;19.46333333;8.89;26.18;2.888235294;21.220571;2.084940672;59.20833333
17.06.2011;19.4175;12.78;23.89;3.005454545;23.674062;0.139054944;58.54166667
18.06.2011;20.09916667;8.89;27.22;2.465789474;24.527622;0;54.04166667
19.06.2011;23.63333333;17.22;31.11;2.9425;24.291416;1.417219639;60.5
20.06.2011;23.0525;17.22;29.54;3.447083333;21.875577;1.135408878;60.54166667
21.06.2011;18.13708333;13.7;23.53;3.166521739;20.403661;1.807178924;67.41666667
22.06.2011;18.06541667;12.78;23.89;4.739545455;21.655448;3.694406478;62.75
23.06.2011;19.45416667;12.78;25.59;4.965;25.027784;0;51.54166667
24.06.2011;20.61125;10;28.11;2.131363636;18.440132;0.050429255;57.41666667
25.06.2011;21.89166667;17.22;27.22;2.485789474;16.755127;6.939396262;67.29166667
26.06.2011;21.69041667;17.52;26.11;2.029473684;18.603091;7.561855018;76.5
27.06.2011;20.47666667;17.22;24.59;2.626521739;16.519323;7.972182008;78.04166667
28.06.2011;17.98125;16.1;21.11;1.933333333;9.218932;8.215029957;92.625
29.06.2011;19.8125;15.87;25;2.328571429;9.58112;10.10300056;85.75
30.06.2011;21.28;17.52;25;2.70125;17.064894;3.84316151;77.91666667
01.07.2011;22.0125;17.78;27.22;4.433043478;15.615033;2.074242802;71.95833333
02.07.2011;20.40833333;15.85;26.11;2.231363636;22.336234;0.707484491;70.625
03.07.2011;21.705;15;27.78;1.600833333;20.182267;0.430732965;63.33333333
04.07.2011;21.18583333;16.11;26.11;1.888421053;19.920192;6.521271076;75.25
05.07.2011;20.30833333;16.11;25;3.034545455;21.305871;5.129841156;75.45833333
06.07.2011;20.12375;13.89;26.11;3.209444444;22.162619;4.031567601;67.91666667
07.07.2011;20.39875;16.11;25;2.6145;18.226608;8.144312538;75.5
08.07.2011;21.07958333;16.72;26.11;2.347;20.125195;6.834667176;75.25
09.07.2011;20.45791667;16.11;24.48;3.204090909;18.97662;1.174746314;76.20833333
10.07.2011;21.08125;17.22;25;3.660833333;17.202227;5.537367193;78.29166667
11.07.2011;21.5075;17.22;25.59;3.717391304;22.363838;0.716965165;71.375
12.07.2011;21.54583333;12.78;27.78;1.631176471;21.910208;0;64.45833333
13.07.2011;23.16083333;16.11;28.89;2.025625;23.125779;0;60.29166667
14.07.2011;23.40541667;15;30;1.714705882;25.898649;0;56.41666667
15.07.2011;24.12208333;15;32.22;1.224285714;25.92989;0;54.25
16.07.2011;24.90791667;16.11;32.22;2.187058824;25.966514;0;56.33333333
17.07.2011;25.52666667;20;32.22;1.894285714;22.700124;0;54.58333333
18.07.2011;25.01875;18.89;31.18;1.84;22.310982;1.516700489;60.04166667
19.07.2011;23.15916667;17.78;28.24;2.1265;20.023158;5.479494808;68.25
20.07.2011;24.57083333;19.73;30.52;2.274117647;21.623695;2.54813279;63.33333333
21.07.2011;23.74;20;28.01;3.845833333;19.722119;0.557124615;61.04166667
22.07.2011;26.07541667;21.47;32.78;4.96875;16.642922;0.141978264;53.04166667
23.07.2011;24.25041667;19.98;31.11;3.554782609;19.916922;2.298621926;47.79166667
24.07.2011;24.78041667;17.22;32.78;2.511578947;14.072183;7.106142119;47.25
25.07.2011;24.59958333;19.98;30;2.385238095;16.722452;0;45.83333333
26.07.2011;25.59625;20.59;32.78;2.786086957;21.108259;0;52.45833333
27.07.2011;26.59291667;17.22;35;1.748571429;25.254304;0;50.45833333
28.07.2011;24.655;17.78;30;3.711764706;21.298003;0.928789377;58.58333333
29.07.2011;24.25583333;17.78;31.11;3.058181818;24.295574;0;60.58333333
30.07.2011;24.62625;17.78;32.22;2.201363636;20.238045;0;55.08333333
31.07.2011;21.89625;17.22;27.22;2.307894737;13.928171;11.67231798;71.08333333
01.08.2011;19.23541667;17.22;22.51;2.743636364;11.890962;9.858220583;88.54166667
02.08.2011;18.5975;17.01;20.43;2.721666667;12.910664;11.3291766;91.5
03.08.2011;15.83291667;13.69;17.52;2.707916667;8.803838813;8.680257015;89.5
04.08.2011;16.815;14.15;20;1.956363636;12.14755988;7.44998455;85.125
05.08.2011;15.08958333;12.36;18.89;3.708181818;12.605571;0.880480744;81.91666667
06.08.2011;17.825;10;25;2.761363636;22.196736;0;62.58333333
07.08.2011;19.405;12.22;26.11;2.196666667;20.556893;0;58.79166667
08.08.2011;20.56458333;12.78;27.78;2.760625;22.837722;0;59.875
09.08.2011;22.75625;13.89;30.24;3.784210526;23.71788;0;53.45833333
10.08.2011;23.00041667;13.89;31.18;2.846842105;22.220166;0;50.41666667
11.08.2011;22.22875;15;31.11;1.571052632;19.851944;0;57.08333333
12.08.2011;23.3025;16.11;31.11;3.503043478;18.900155;0;53.5
13.08.2011;26.35;18.84;33.89;3.264347826;19.844813;0.259742141;42.66666667
14.08.2011;25.41833333;18.89;32.22;3.033636364;19.460148;0;49
15.08.2011;24.14666667;19.86;29.22;2.708636364;15.256494;1.296636881;60.04166667
16.08.2011;22.93791667;19.16;26.89;2.017777778;16.998873;2.55599455;66.79166667
17.08.2011;22.28708333;18.66;27.52;2.144285714;17.361921;5.602341145;71.54166667
18.08.2011;20.1875;16.11;24.78;2.11952381;12.862619;10.65955078;83.04166667
19.08.2011;17.81791667;15;19.93;3.247727273;6.956071;7.6470762;86.875
20.08.2011;18.26833333;12.78;23.89;2.118571429;14.307202;2.437167001;75.375
21.08.2011;15.58875;12.78;17.78;3.102173913;15.434685;4.632476019;84.70833333
22.08.2011;15.67666667;12.22;20;3.413043478;14.216133;1.184494002;83.16666667
23.08.2011;16.61041667;11.11;22.22;1.283333333;10.325438;3.036699025;76.33333333
24.08.2011;17.22;13.89;21.7;2.8925;12.675969;1.356005669;66.875
25.08.2011;14.66416667;7.78;20.35;2.402105263;20.971608;0;62.375
26.08.2011;15.01416667;7.22;22.52;1.489411765;19.175728;0;64.5
27.08.2011;16.90791667;10;23.89;2.236190476;18.938246;0;66.33333333
28.08.2011;18.64708333;12.12;26.11;2.926666667;20.111576;0;60.79166667
29.08.2011;18.47125;10;27.22;1.565;20.120198;0;59.79166667
30.08.2011;19.59;12.22;28.3;2.367058824;19.63681;0;60.25
31.08.2011;20.33875;12.78;28.89;2.366875;19.082724;0;57.83333333
01.09.2011;20.58833333;13.89;28.36;1.456111111;18.115618;0;59.95833333
02.09.2011;16.415;12.78;19.96;3.346111111;15.494996;1.095176209;77.75
03.09.2011;14.80458333;8.89;20;2.773333333;16.254561;1.105383039;67.83333333
04.09.2011;13.83083333;7.22;21.11;2.352;14.525048;3.020997625;69.70833333
05.09.2011;13.03375;7.22;18.36;2.725833333;15.623596;0.544049311;72.83333333
06.09.2011;13.69375;11.11;16.89;3.111666667;12.419712;0;68.70833333
07.09.2011;13.36375;7.78;19.84;2.852857143;15.712619;0;68.91666667
08.09.2011;13.44083333;6.11;18.53;2.37;7.226031;1.702210226;76.875
09.09.2011;13.01125;11.11;16.11;2.733636364;9.733363;4.615792306;83.54166667
10.09.2011;11.98791667;10.55;13.89;5.60125;7.1557775;3.180975793;85.41666667
11.09.2011;12.22833333;9.81;16.11;7.096666667;9.524269063;1.178290186;78.375
12.09.2011;14.11916667;11.99;18.01;5.4625;7.272993;0.242934708;82.04166667
13.09.2011;13.66083333;8.89;16.71;1.781875;6.58523475;2.460062504;86.66666667
14.09.2011;17.92166667;12.78;23.15;2.892380952;12.3908;0.10663271;74.29166667
15.09.2011;18.56541667;15;23.04;2.974545455;13.752627;0;62.04166667
16.09.2011;15.14916667;10.46;20;3.487;15.440803;0;66.20833333
17.09.2011;12.6425;9.75;17.22;3.787083333;11.299645;0.134639442;66.875
18.09.2011;11.92291667;7.78;17.78;3.296818182;10.374602;0.161901116;76.29166667
19.09.2011;11.6725;3.89;19.41;1.366923077;14.347935;0;73.25
